event_name,sport_name
"Art Competitions Mixed Painting, Graphic Arts",Art Competitions
"Wrestling Women's Flyweight, Freestyle",Wrestling
"Art Competitions Mixed Literature, Unknown Event",Art Competitions
Sailing Mixed 0.5-1 Ton,Sailing
"Art Competitions Mixed Painting, Applied Arts",Art Competitions
"Croquet Mixed Singles, One Ball",Croquet
Croquet Mixed Doubles,Croquet
"Shooting Men's Running Target, Double Shot, Team",Shooting
"Shooting Men's Free Pistol, 50 yards",Shooting
"Shooting Men's Free Pistol, 50 yards, Team",Shooting
"Fencing Men's epee, Masters and Amateurs, Individual",Fencing
Swimming Men's 10 kilometres Open Water,Swimming
"Art Competitions Mixed Music, Compositions For Orchestra",Art Competitions
Archery Men's Double York Round,Archery
"Wrestling Women's Middleweight, Freestyle",Wrestling
"Equestrianism Men's Vaulting, Individual",Equestrianism
Swimming Men's 4 x 250 metres Freestyle Relay,Swimming
Table Tennis Women's Team,Table Tennis
Athletics Women's Hammer Throw,Athletics
"Canoeing Men's Kayak Singles, 200 metres",Canoeing
Shooting Women's Double Trap,Shooting
Rowing Men's 6-Man Naval Rowing Boats,Rowing
Art Competitions Mixed Music,Art Competitions
"Shooting Men's Free Rifle, Kneeling, 300 metres",Shooting
"Shooting Men's Free Rifle, Prone, 300 metres",Shooting
"Shooting Men's Free Rifle, Standing, 300 metres",Shooting
"Athletics Men's 3,200 metres Steeplechase",Athletics
Rowing Women's Coxless Fours,Rowing
"Tennis Men's Doubles, Covered Courts",Tennis
"Tennis Men's Singles, Covered Courts",Tennis
Cycling Men's 25 kilometres,Cycling
"Shooting Men's Military Rifle, 200 metres",Shooting
Athletics Men's Standing Triple Jump,Athletics
Rowing Men's Coxed Pairs (1 kilometres),Rowing
"Shooting Men's Military Pistol, 30 metres",Shooting
Cycling Women's Keirin,Cycling
"Archery Men's Au Cordon Dore, 50 metres",Archery
Figure Skating Men's Singles,Figure Skating
Figure Skating Mixed Pairs,Figure Skating
Swimming Women's 300 metres Freestyle,Swimming
"Canoeing Men's Canadian Singles, 200 metres",Canoeing
Sailing Mixed 30 metres,Sailing
"Athletics Men's 4,000 metres Steeplechase",Athletics
"Athletics Men's 5,000 metres, Team",Athletics
Rowing Men's Coxed Pairs (1 mile),Rowing
Art Competitions Mixed Unknown Event,Art Competitions
Cycling Women's Omnium,Cycling
Swimming Men's 200 metres Obstacle Course,Swimming
Swimming Men's 200 metres Team Swimming,Swimming
Sailing Mixed 12 foot,Sailing
"Art Competitions Mixed Music, Instrumental And Chamber",Art Competitions
"Art Competitions Mixed Music, Vocals",Art Competitions
"Art Competitions Mixed Literature, Dramatic Works",Art Competitions
Jeu De Paume Men's Singles,Jeu De Paume
Sailing Mixed 10-20 Ton,Sailing
Cycling Men's 1/3 mile,Cycling
Cycling Men's 1 mile,Cycling
Cycling Men's 2 mile,Cycling
"Art Competitions Mixed Sculpturing, Medals And Plaques",Art Competitions
"Athletics Men's 1,600 metres Medley Relay",Athletics
"Croquet Mixed Singles, Two Balls",Croquet
"Canoeing Men's Folding Kayak Doubles, 10 kilometres",Canoeing
Athletics Men's 60 metres,Athletics
Sailing Mixed 2-3 Ton,Sailing
"Shooting Men's Military Rifle, Prone, 600 metres",Shooting
"Canoeing Men's Canadian Doubles, 10,000 metres",Canoeing
"Shooting Men's Dueling Pistol, 30 metres, Team",Shooting
"Gymnastics Men's Parallel Bars, Teams",Gymnastics
"Gymnastics Men's Horizontal Bar, Teams",Gymnastics
"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",Shooting
"Art Competitions Mixed Sculpturing, Medals And Reliefs",Art Competitions
"Athletics Men's 1,500 metres Walk",Athletics
"Athletics Men's 3 mile, Team",Athletics
"Art Competitions Mixed Sculpturing, Medals",Art Competitions
"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",Shooting
"Equestrianism Men's Vaulting, Team",Equestrianism
"Shooting Men's Free Rifle, Any Position, 300 metres",Shooting
"Shooting Men's Military Rifle, 1873-1874 Gras Model, Kneeling Or Standing, 200 metres",Shooting
Swimming Men's 100 Yard Backstroke,Swimming
Swimming Men's 440 Yard Breaststroke,Swimming
"Art Competitions Mixed Literature, Epic Works",Art Competitions
Art Competitions Mixed Architecture,Art Competitions
"Athletics Men's 3,500 metres Walk",Athletics
Roque Men's Singles,Roque
Gymnastics Men's Side Horse,Gymnastics
Archery Men's Double American Round,Archery
Archery Men's Team Round,Archery
"Archery Men's Target Archery, 33 metres, Individual",Archery
"Archery Men's Target Archery, 50 metres, Individual",Archery
"Swimming Men's 1,000 metres Freestyle",Swimming
Athletics Men's 10 mile Walk,Athletics
"Athletics Men's Discus Throw, Both Hands",Athletics
Golf Men's Team,Golf
Sailing Mixed 0-0.5 Ton,Sailing
Sailing Mixed 20+ Ton,Sailing
Cycling Women's Team Sprint,Cycling
"Weightlifting Men's Unlimited, Two Hands",Weightlifting
"Shooting Men's Free Pistol, 25 metres",Shooting
"Shooting Men's Military Revolver, 1873-1874 Gras Model, 20 metres",Shooting
"Shooting Men's Military Revolver, 20 metres",Shooting
Shooting Men's Dueling Pistol Au Vise 20 metres,Shooting
"Shooting Men's Dueling Pistol Au Commandement, 25 metres",Shooting
"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",Shooting
Sailing Mixed 6.5 metres,Sailing
Athletics Men's 200 metres Hurdles,Athletics
Athletics Men's 56-pound Weight Throw,Athletics
Equestrianism Mixed Four-In-Hand Competition,Equestrianism
"Athletics Men's 2,500 metres Steeplechase",Athletics
"Art Competitions Mixed Music, Unknown Event",Art Competitions
Athletics Men's All-Around Championship,Athletics
"Archery Men's Pole Archery, Small Birds, Individual",Archery
"Archery Men's Pole Archery, Large Birds, Individual",Archery
"Archery Men's Pole Archery, Small Birds, Team",Archery
"Archery Men's Pole Archery, Large Birds, Team",Archery
"Athletics Men's 2,590 metres Steeplechase",Athletics
Archery Women's Double Columbia Round,Archery
"Athletics Men's 4 mile, Team",Athletics
Figure Skating Men's Special Figures,Figure Skating
"Shooting Men's Military Rifle, Standing, 300 metres",Shooting
Swimming Men's 50 yard Freestyle,Swimming
Swimming Men's 100 yard Freestyle,Swimming
Swimming Men's 440 yard Freestyle,Swimming
Basque Pelota Men's Two-Man Teams With Cesta,Basque Pelota
"Shooting Men's Trap, Single Shot, 16 metres",Shooting
"Shooting Men's Trap, Double Shot, 14 metres",Shooting
Equestrianism Mixed Long Jump,Equestrianism
"Canoeing Men's Folding Kayak Singles, 10 kilometres",Canoeing
"Shooting Men's Free Pistol, 30 metres",Shooting
"Shooting Men's Military Pistol, 25 metres",Shooting
Swimming Men's 100 metres Freestyle For Sailors,Swimming
Archery Men's Sur La Perche a La Herse,Archery
Sailing Mixed 3-10 Ton,Sailing
"Gymnastics Men's Individual All-Around, 4 Events",Gymnastics
Alpinism Mixed Alpinism,Alpinism
"Wrestling Men's Unlimited Class, Greco-Roman",Wrestling
Motorboating Mixed B-Class (Under 60 Feet),Motorboating
Motorboating Mixed C-Class,Motorboating
"Cycling Men's 10,000 metres",Cycling
"Art Competitions Mixed Sculpturing, Reliefs",Art Competitions
"Shooting Men's Muzzle-Loading Pistol, 25 metres",Shooting
Equestrianism Mixed High Jump,Equestrianism
Archery Men's Sur La Perche a La Pyramide,Archery
"Fencing Men's Single Sticks, Individual",Fencing
Figure Skating Women's Singles,Figure Skating
Gymnastics Men's Tumbling,Gymnastics
Shooting Men's Unknown Event,Shooting
Sailing Mixed 18 foot,Sailing
Archery Men's Unknown Event,Archery
"Archery Men's Au Chapelet, 50 metres",Archery
Archery Men's Championnat Du Monde,Archery
Archery Women's Team Round,Archery
"Wrestling Men's All-Around, Greco-Roman",Wrestling
Cycling Men's 12-Hours Race,Cycling
Swimming Men's 500 metres Freestyle,Swimming
Weightlifting Men's All-Around Dumbbell Contest,Weightlifting
"Archery Men's Au Chapelet, 33 metres",Archery
"Archery Men's Au Cordon Dore, 33 metres",Archery
"Archery Men's Target Archery, 28 metres, Individual",Archery
Aeronautics Mixed Aeronautics,Aeronautics
Women's Road Race,Cycling Road
Women's Individual Time Trial,Cycling Road
Men's All-Around,Artistic Gymnastics
Men's Floor Exercise,Artistic Gymnastics
Men's Pommel Horse,Artistic Gymnastics
Men's Rings,Artistic Gymnastics
Men's Vault,Artistic Gymnastics
Men's Parallel Bars,Artistic Gymnastics
Men's Horizontal Bar,Artistic Gymnastics
Men's Team,Artistic Gymnastics
Men's Pair Team,Rowing
Men Team,Basketball
Women Team,Basketball
Men Team,Handball
Lightweight Men's Double Sculls Team,Rowing
Men's 100m Breaststroke,Swimming
Women's Kumite +61kg,Karate
Men's Greco-Roman 87kg,Wrestling
Women Team,Handball
Group All-Around Team,Rhythmic Gymnastics
Softball Team,Baseball/Softball
Men's 800m,Athletics
Men -73 kg,Judo
10m Air Pistol Women,Shooting
10m Air Pistol Mixed Team,Shooting
10m Air Pistol Men,Shooting
Men -81 kg,Judo
Men's Kumite -75kg,Karate
Women's Team,Table Tennis
Men -66 kg,Judo
Men's Freestyle 125kg,Wrestling
Men's Javelin Throw,Athletics
Men Team,Football
Women -49kg,Taekwondo
Men's 3000m Steeplechase,Athletics
Men's Marathon,Athletics
Women's All-Around,Artistic Gymnastics
Women's Vault,Artistic Gymnastics
Women's Uneven Bars,Artistic Gymnastics
Women's Balance Beam,Artistic Gymnastics
Women's Floor Exercise,Artistic Gymnastics
Women's Épée Individual,Fencing
Women's Singles,Badminton
Men's Heavy (81-91kg),Boxing
Men's Freestyle 57kg,Wrestling
Men's Greco-Roman 130kg,Wrestling
Men's 73kg,Weightlifting
Men's Super Heavy (+91kg),Boxing
Men's Individual,Archery
Men's Team,Archery
Men's Light (57-63kg),Boxing
Men's Freestyle 74kg,Wrestling
Mixed Team,Judo
Men's 400m Hurdles,Athletics
Women -52 kg,Judo
Women's 3000m Steeplechase,Athletics
Men's Sabre Individual,Fencing
Men's Sabre Team,Fencing
Women's 3m Springboard,Diving
Women's Synchronised 3m Springboard Team,Diving
Men's Singles,Badminton
Men's 100m Freestyle,Swimming
Men Team,Beach Volleyball
Women's Skiff - 49er  Team,Sailing
Men's 5000m,Athletics
Women's 100m,Athletics
Men's Foil Individual,Fencing
Men's Foil Team,Fencing
Women's 76kg,Weightlifting
Men Team,Hockey
Women's 400m,Athletics
Men's Shot Put,Athletics
Men,Trampoline Gymnastics
Men's 10km,Marathon Swimming
Women's Single Sculls,Rowing
Men's 1500m Freestyle,Swimming
Men's 4 x 400m Relay Team,Athletics
4 x 400m Relay Mixed Team,Athletics
Mixed 4 x 100m Medley Relay Team,Swimming
Men -68kg,Taekwondo
Men's Singles,Table Tennis
Mixed Doubles Team,Table Tennis
Skeet Men,Shooting
Men's Greco-Roman 97kg,Wrestling
Men's 4 x 100m Freestyle Relay Team,Swimming
Women's Individual,Triathlon
Women +67kg,Taekwondo
Women's Individual,Archery
Mixed Team,Archery
Men's 800m Freestyle,Swimming
Women Team,Football
Men's Kayak,Canoe Slalom
Men Team,Water Polo
Men's Eight Team,Rowing
Women's 4 x 100m Relay Team,Athletics
Women -57kg,Taekwondo
Women's 100m Breaststroke,Swimming
Women's Shot Put,Athletics
Men's 96kg,Weightlifting
Women's Freestyle 76kg,Wrestling
Men's 100m,Athletics
Women's Freestyle 57kg,Wrestling
Women's Freestyle 62kg,Wrestling
Individual All-Around,Rhythmic Gymnastics
Women +78 kg,Judo
Women,Surfing
Men's Canoe Single 1000m,Canoe Sprint
Men's Canoe Double 1000m Team,Canoe Sprint
Men's Double Sculls Team,Rowing
Women's Quadruple Sculls Team,Rowing
Men's Two Person Dinghy - 470 Team,Sailing
Women's 1500m,Athletics
Men's 400m,Athletics
Women,Cycling BMX Racing
Women's 50m Freestyle,Swimming
Women -63 kg,Judo
Men Team,Rugby Sevens
Men's Kayak Single 1000m,Canoe Sprint
Men's Triple Jump,Athletics
Men's Freestyle 86kg,Wrestling
Men Team,Volleyball
Men's 50km Race Walk,Athletics
Women -78 kg,Judo
Women's Heptathlon,Athletics
Women's 10m Platform,Diving
Women's Synchronised 10m Platform Team,Diving
Men's Welter (63-69kg),Boxing
Men's 100m Butterfly,Swimming
Women's Freestyle 68kg,Wrestling
"Men's 10,000m",Athletics
Women's Kayak Single 200m,Canoe Sprint
Women's Kayak Single 500m,Canoe Sprint
Men's Doubles Team,Badminton
Women,Trampoline Gymnastics
Women's 4 x 100m Freestyle Relay Team,Swimming
Women's Pair Team,Rowing
Men's Greco-Roman 60kg,Wrestling
Women's 49kg,Weightlifting
Men's Greco-Roman 77kg,Wrestling
Women Team,Rugby Sevens
Men's 4 x 100m Relay Team,Athletics
10m Air Rifle Men,Shooting
50m Rifle 3 Positions Men,Shooting
Women's Team,Artistic Gymnastics
Women's Freestyle 53kg,Wrestling
25m Rapid Fire Pistol Men,Shooting
Men's High Jump,Athletics
Women Team,Volleyball
Women's Welter (64-69kg),Boxing
Men -60 kg,Judo
Women's +87kg,Weightlifting
Men's Freestyle 65kg,Wrestling
Men's Kayak Single 200m,Canoe Sprint
Men's Kumite +75kg,Karate
Jumping Team,Equestrian
Jumping Individual,Equestrian
Trap Men,Shooting
Men's Single Sculls,Rowing
Men's Greco-Roman 67kg,Wrestling
Men's Fly (48-52kg),Boxing
Men's Individual,Triathlon
Mixed Relay Team,Triathlon
Men +80kg,Taekwondo
Women Team,Hockey
Mixed Multihull - Nacra 17 Foiling Team,Sailing
Women -57 kg,Judo
Women's Eight Team,Rowing
Women's Singles,Tennis
Team,Artistic Swimming
Women's 59kg,Weightlifting
Women's 800m,Athletics
Men -80kg,Taekwondo
Duet Team,Artistic Swimming
Women's Light (57-60kg),Boxing
Men's Light Heavy (75-81kg),Boxing
Eventing Team,Equestrian
Eventing Individual,Equestrian
Women's Feather (54-57kg),Boxing
Trap Women,Shooting
Trap Mixed Team,Shooting
Men's Feather (52-57kg),Boxing
Men's 110m Hurdles,Athletics
Men's 81kg,Weightlifting
Baseball Team,Baseball/Softball
Men's 200m Breaststroke,Swimming
Women's Discus Throw,Athletics
Women's 4 x 400m Relay Team,Athletics
Men's Kumite -67kg,Karate
Men's Road Race,Cycling Road
Men's Individual Time Trial,Cycling Road
Women's 4 x 200m Freestyle Relay Team,Swimming
Men's Kata,Karate
Women's 100m Butterfly,Swimming
Women -67kg,Taekwondo
Men's 61kg,Weightlifting
Lightweight Women's Double Sculls Team,Rowing
Women -48 kg,Judo
Men's 400m Freestyle,Swimming
Men's 200m Freestyle,Swimming
Women's Team Pursuit Team,Cycling Track
Men's Middle (69-75kg),Boxing
Men's 200m,Athletics
Men's Skiff - 49er Team,Sailing
Women's 100m Hurdles,Athletics
Women's Team,Archery
Women's Marathon,Athletics
Women's Kata,Karate
Men -90 kg,Judo
Men's Hammer Throw,Athletics
Skeet Women,Shooting
Men's Individual Stroke Play,Golf
Women's Hammer Throw,Athletics
Men's Park,Skateboarding
Women's 100m Freestyle,Swimming
Women's 200m Freestyle,Swimming
Women's 4 x 100m Medley Relay Team,Swimming
Women's 10km,Marathon Swimming
4 x 400m Relay Mixed,Athletics
Women's 20km Race Walk,Athletics
Men,Surfing
Women's 200m Individual Medley,Swimming
Women's 64kg,Weightlifting
"Women's 10,000m",Athletics
Men,Cycling BMX Racing
Men's 1500m,Athletics
Women's Canoe Single 200m,Canoe Sprint
Women's Canoe Double 500m Team,Canoe Sprint
Women's Javelin Throw,Athletics
Men's 50m Freestyle,Swimming
Men's 200m Individual Medley,Swimming
Men's 4 x 100m Medley Relay Team,Swimming
Women Team,Water Polo
Women's Sprint,Cycling Track
Women's Keirin,Cycling Track
Women's 87kg,Weightlifting
Men's 67kg,Weightlifting
Women's One Person Dinghy - Laser Radial,Sailing
Men's Singles,Tennis
Men's Doubles Team,Tennis
Women's Four Team,Rowing
Men's Kayak Double 1000m Team,Canoe Sprint
Men's Kayak Four 500m Team,Canoe Sprint
Men's Quadruple Sculls Team,Rowing
Women's Team Sprint Team,Cycling Track
Women's Double Sculls Team,Rowing
Women's Sabre Individual,Fencing
Women's Sabre Team,Fencing
Men's Street,Skateboarding
Women's Doubles Team,Tennis
Men's Team,Table Tennis
Men's 4 x 200m Freestyle Relay Team,Swimming
Women -70 kg,Judo
Women's Long Jump,Athletics
Men's One Person Dinghy - Laser,Sailing
Women's Individual,Modern Pentathlon
Women's Omnium,Cycling Track
Women's Madison Team,Cycling Track
Women's 100m Backstroke,Swimming
Men's 3m Springboard,Diving
Men's 20km Race Walk,Athletics
Women's Kayak Double 500m Team,Canoe Sprint
Women's Two Person Dinghy - 470 Team,Sailing
Men's 10m Platform,Diving
Women's Park,Skateboarding
Men's 100m Backstroke,Swimming
Men's 400m Individual Medley,Swimming
10m Air Rifle Women,Shooting
50m Rifle 3 Positions Women,Shooting
10m Air Rifle Mixed Team,Shooting
Women Team,Beach Volleyball
Men -58kg,Taekwondo
25m Pistol Women,Shooting
Men's +109kg,Weightlifting
Women's Individual Stroke Play,Golf
Men's Windsurfer - RS:X,Sailing
Women's 4 x 100m Relay,Athletics
Men's 200m Backstroke,Swimming
Mixed Doubles Team,Tennis
Men's Cross-country,Cycling Mountain Bike
Women's 200m Butterfly,Swimming
Men's Sprint,Cycling Track
Men's Keirin,Cycling Track
Dressage Team,Equestrian
Dressage Individual,Equestrian
Women's 200m,Athletics
Women's Foil Individual,Fencing
Women's Foil Team,Fencing
Women's 1500m Freestyle,Swimming
Men's 109kg,Weightlifting
Men's 200m Butterfly,Swimming
Women's 200m Backstroke,Swimming
Women's Kumite -55kg,Karate
Men's Discus Throw,Athletics
Women's Singles,Table Tennis
Men's Synchronised 10m Platform Team,Diving
Women's 400m Individual Medley,Swimming
Men's Épée Individual,Fencing
Men's Épée Team,Fencing
Women's Madison,Cycling Track
Men +100 kg,Judo
Men's Decathlon,Athletics
Women's 5000m,Athletics
Women's Cross-country,Cycling Mountain Bike
Women Team,3x3 Basketball
Women's Windsurfer - RS:X,Sailing
Women's 400m Hurdles,Athletics
Women's 200m Breaststroke,Swimming
Men Team,3x3 Basketball
Men's Individual,Modern Pentathlon
Women's Épée Team,Fencing
Women's 800m Freestyle,Swimming
Women's Park,Cycling BMX Freestyle
Women's Pole Vault,Athletics
Women's Street,Skateboarding
Men's Canoe,Canoe Slalom
Men's Four Team,Rowing
Men's One Person Dinghy (Heavyweight) - Finn,Sailing
Men's Team Pursuit Team,Cycling Track
Men's Madison Team,Cycling Track
Women's Canoe,Canoe Slalom
Men's Long Jump,Athletics
Men's Team Sprint Team,Cycling Track
Women's Doubles Team,Badminton
Men's Pole Vault,Athletics
Women's 400m Freestyle,Swimming
Women's Kayak Four 500m Team,Canoe Sprint
Mixed Doubles Team,Badminton
Men -100 kg,Judo
Women's High Jump,Athletics
Women's Fly (48-51kg),Boxing
Women's Kayak,Canoe Slalom
Men's Park,Cycling BMX Freestyle
Women's Middle (69-75kg),Boxing
Men's Synchronised 3m Springboard Team,Diving
Women's Combined,Sport Climbing
Women's 55kg,Weightlifting
Men's Combined,Sport Climbing
Women's Kumite -61kg,Karate
Men's 4 x 400m Relay,Athletics
Men's Omnium,Cycling Track
Men's Freestyle 97kg,Wrestling
Women's Freestyle 50kg,Wrestling
Women's Triple Jump,Athletics
Men's 4 x 100m Relay,Athletics
Women's 4 x 400m Relay,Athletics
Marathon Race Walk Relay Mixed,Athletics
Duet,Artistic Swimming
Men's +102kg,Weightlifting
Men's Kayak Single,Canoe Slalom
Men's Kayak Cross,Canoe Slalom
Men's 63.5kg,Boxing
Men's 71kg,Boxing
Women's Dinghy,Sailing
Women's Windsurfing,Sailing
Lightweight Men's Double Sculls,Rowing
Women,Artistic Gymnastics
Men's Synchronised 10m Platform,Diving
Women's Synchronised 10m Platform,Diving
Men's Synchronised 3m Springboard,Diving
Group All-Around,Rhythmic Gymnastics
Women's Kayak Single,Canoe Slalom
Women's Kayak Cross,Canoe Slalom
Women's Kayak Double 500m,Canoe Sprint
Women's 60kg,Boxing
Women's 57kg,Boxing
Men's Kite,Sailing
Men,Football
Men's Dinghy,Sailing
Women's 4 x 100m Medley Relay,Swimming
Men's Speed,Sport Climbing
Mixed Doubles,Badminton
Men's 89kg,Weightlifting
Men's 102kg,Weightlifting
Mixed Multihull,Sailing
Men's Windsurfing,Sailing
Women's Kite,Sailing
Skeet Mixed Team,Shooting
Women,Hockey
Men,Hockey
Lightweight Women's Double Sculls,Rowing
Men,Artistic Gymnastics
Men's Doubles,Badminton
Women's Doubles,Badminton
Men,Rugby Sevens
Women's 66kg,Boxing
Women's 4 x 100m Freestyle Relay,Swimming
Relay Only Athlete,Swimming
Men's 4 x 100m Medley Relay,Swimming
Men's 10km,"Marathon Swimming, Swimming"
Men's 1500m Freestyle,"Marathon Swimming, Swimming"
Men's 800m Freestyle,"Marathon Swimming, Swimming"
Women's Team Pursuit,Cycling Track
Women's Pair,Rowing
Women's Four,Rowing
Men,Handball
Men's +92kg,Boxing
Women's 50kg,Boxing
Women's 54kg,Boxing
Men's 57kg,Boxing
Mixed Doubles,Table Tennis
Men's Canoe Double 500m,Canoe Sprint
Men's Doubles,Tennis
B-Boys,Breaking
B-Girls,Breaking
Women's 81kg,Weightlifting
Women's 75kg,Boxing
Women,Rugby Sevens
Men's Skiff,Sailing
Men's Double Sculls,Rowing
Men's Pair,Rowing
Women's Double Sculls,Rowing
Women's 71kg,Weightlifting
Women's +81kg,Weightlifting
Men's Boulder & Lead,Sport Climbing
Women's Boulder & Lead,Sport Climbing
Men's Canoe Single,Canoe Slalom
Men's 92kg,Boxing
Women,Beach Volleyball
Men's Quadruple Sculls,Rowing
Men's Four,Rowing
Men's Eight,Rowing
Women's Eight,Rowing
Men,Beach Volleyball
Women,Basketball
Women's Doubles,Tennis
Men's 51kg,Boxing
Women's Canoe Double 500m,Canoe Sprint
Women's Quadruple Sculls,Rowing
Women's Canoe Single,Canoe Slalom
Women's Team Sprint,Cycling Track
Women's Speed,Sport Climbing
Women,Handball
Mixed Doubles,Tennis
Men's 80kg,Boxing
Men,Water Polo
Mixed Dinghy,Sailing
Women's Skiff,Sailing
Women's Road Race,"Cycling Road, Cycling Track"
Women's Keirin,"Cycling Road, Cycling Track"
Women's Sprint,"Cycling Road, Cycling Track"
Men,Basketball
Men,Volleyball
Men's 200m Freestyle,"Marathon Swimming, Swimming"
Men's 400m Freestyle,"Marathon Swimming, Swimming"
Men's Madison,Cycling Track
Women's Kayak Four 500m,Canoe Sprint
Men's Kayak Four 500m,Canoe Sprint
Men,3x3 Basketball
Men's Kayak Double 500m,Canoe Sprint
Women,3x3 Basketball
Men's 4 x 100m Freestyle Relay,Swimming
Mixed 4 x 100m Medley Relay,Swimming
Women,Volleyball
Men's Team Pursuit,Cycling Track
Men's Road Race,"Cycling Road, Cycling Track"
Men's Madison,"Cycling Road, Cycling Track"
Men's Team Pursuit,"Cycling Road, Cycling Track"
Women,Football
Women's 4 x 200m Freestyle Relay,Swimming
Men's Team Sprint,Cycling Track
Women's Individual Time Trial,"Cycling Road, Cycling Track"
Women's Team Pursuit,"Cycling Road, Cycling Track"
Men's 4 x 200m Freestyle Relay,Swimming
Women's Road Race,"Cycling Road, Cycling Mountain Bike"
Women's Cross-country,"Cycling Road, Cycling Mountain Bike"
Women's Synchronised 3m Springboard,Diving
Women's Omnium,"Cycling Road, Cycling Track"
Women,Water Polo
Women's 10km,"Marathon Swimming, Swimming"
Women's 1500m Freestyle,"Marathon Swimming, Swimming"
Women's 400m Freestyle,"Marathon Swimming, Swimming"
Men's Road Race,"Cycling Road, Cycling Mountain Bike"
Men's Cross-country,"Cycling Road, Cycling Mountain Bike"
Women's Madison,"Cycling Road, Cycling Track"
Men's Omnium,"Cycling Road, Cycling Track"
Men's Individual Time Trial,"Cycling Road, Cycling Track"
Women's Individual Time Trial,"Cycling Road, Triathlon"
Women's Individual,"Cycling Road, Triathlon"
Women's 400m Individual Medley,"Marathon Swimming, Swimming"
Women,"3x3 Basketball, Basketball"
Men's 4 x 200m Freestyle Relay,"Marathon Swimming, Swimming"
Mixed Relay,Triathlon
